Classifier,Best hyperparams,Accuracy Mean,Accuracy Std,Precision Fake,Recall Fake,F1 Fake,Support Fake,Precision Real,Recall Real,F1 Real,Support Real,Precision Macro,Recall Macro,F1 Macro,Precision Weighted,Recall Weighted,F1 Weighted
SVM - linear,{'C': 10},0.9817668893838158,0.0008989978027154235,0.9837551299589603,0.9812940641346373,0.9825230559034498,35176,0.9796044882524332,0.9822838316653199,0.9809423303743249,32174,0.9816798091056967,0.9817889478999786,0.9817326931388873,0.9817723126424673,0.9817668893838158,0.9817679220775544
SVM - RBF,"{'C': 10, 'gamma': 1}",0.9895619896065331,0.0010927019743414556,0.9908306518210553,0.9891687514214237,0.9899990041682671,35176,0.988179815716812,0.9899919189407597,0.9890850373406618,32174,0.9895052337689336,0.9895803351810917,0.9895420207544645,0.9895643117940631,0.9895619896065331,0.989562389933503
kNN,{'n_neighbors': 7},0.9583221974758723,0.0018152016970407843,0.9477411680084101,0.9739026609051626,0.9606438315830798,35176,0.9705797519469281,0.9412879965189284,0.9557094845133093,32174,0.9591604599776691,0.9575953287120456,0.9581766580481945,0.9586514664440133,0.9583221974758723,0.9582866276837064
MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50)}",0.9868299925760949,0.0008194592265209633,0.9887675684921744,0.9859847623379577,0.9873742046602992,35176,0.9847240727543147,0.9877540871511158,0.9862367526804972,32174,0.9867458206232446,0.9868694247445368,0.9868054786703981,0.986835936244663,0.986829992576095,0.9868308285653007
